# power spectrum of chi
# redshift z=10.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  4.342347e-01   3.435933e-24   3.253813e-04   1.863241e-25   528
  4.351620e-01   3.543511e-24   1.707976e-04   2.214877e-25   264
  4.362761e-01   3.048642e-24   2.025191e-04   1.485298e-25   480
  4.377318e-01   2.786826e-24   0.000000e+00   1.741416e-25   288
  4.383604e-01   3.193381e-24   2.176005e-04   2.204451e-25   168
  4.395105e-01   3.646713e-24   3.444610e-04   1.728596e-25   504
  4.408036e-01   3.323406e-24   7.492773e-09   2.690549e-25   144
  4.416171e-01   2.924586e-24   2.212265e-04   1.369987e-25   464
  4.428396e-01   2.709384e-24   3.246624e-04   1.485391e-25   432
  4.434197e-01   2.366427e-24   5.619580e-09   1.520154e-25   192
  4.449189e-01   2.619279e-24   2.406833e-04   1.477830e-25   396
  4.458042e-01   2.380143e-24   2.162000e-04   1.508925e-25   288
  4.466990e-01   2.284642e-24   2.135686e-04   1.323134e-25   336
  4.481283e-01   2.407611e-24   1.352359e-04   1.484848e-25   432
  4.490354e-01   2.534467e-24   3.505126e-04   1.220873e-25   360
  4.500539e-01   2.630918e-24   2.073334e-04   1.590869e-25   384
  4.515004e-01   2.535538e-24   1.830116e-04   1.657722e-25   198
  4.521974e-01   2.457080e-24   2.080246e-04   9.710057e-26   552
  4.534970e-01   2.545751e-24   2.912202e-04   1.332521e-25   432
  4.545821e-01   2.321928e-24   0.000000e+00   1.429904e-25   168
  4.554927e-01   2.436105e-24   3.610065e-04   1.169333e-25   480
  4.566974e-01   2.037865e-24   0.000000e+00   3.268597e-25   120
  4.572396e-01   2.186933e-24   2.948545e-04   1.276878e-25   336
  4.585628e-01   2.138445e-24   2.080152e-04   8.595826e-26   672
  4.598711e-01   2.488253e-24   3.025866e-04   1.260820e-25   528
  4.604805e-01   1.633526e-24   9.082613e-09   1.223946e-25   168
  4.618883e-01   2.183315e-24   3.375333e-04   1.215775e-25   456
  4.627474e-01   2.560454e-24   2.061344e-04   2.695475e-25   168
  4.636392e-01   2.130653e-24   2.057643e-04   9.629014e-26   504
  4.651216e-01   1.679797e-24   2.647872e-04   1.056767e-25   336
  4.660180e-01   2.135059e-24   1.908802e-04   1.751031e-25   312
  4.670124e-01   2.040264e-24   1.865029e-04   9.668717e-26   504
  4.683210e-01   2.116255e-24   1.294009e-04   1.132957e-25   432
  4.689362e-01   1.829842e-24   1.999672e-04   1.134045e-25   312
  4.702151e-01   1.681047e-24   2.049761e-04   9.041828e-26   384
  4.715504e-01   1.559903e-24   1.741510e-04   1.404505e-25   126
  4.723748e-01   2.009585e-24   3.057676e-04   1.067592e-25   492
  4.734278e-01   1.796897e-24   1.958445e-04   9.647331e-26   528
  4.747438e-01   1.627474e-24   1.989360e-04   8.011419e-26   480
  4.755596e-01   1.856692e-24   2.748289e-04   1.053449e-25   432
  4.767402e-01   1.724677e-24   2.161166e-04   8.797647e-26   440
  4.781114e-01   1.540756e-24   1.074739e-04   8.762616e-26   312
  4.786259e-01   1.481811e-24   1.610586e-04   7.668819e-26   480
  4.796813e-01   1.580755e-24   3.153497e-04   8.414972e-26   408
  4.812233e-01   1.637636e-24   1.888588e-04   9.639990e-26   360
  4.818747e-01   1.596099e-24   1.822418e-04   9.890874e-26   408
  4.830820e-01   1.381306e-24   1.854542e-04   7.881801e-26   456
  4.844414e-01   1.597542e-24   1.772485e-04   1.130134e-25   264
  4.851959e-01   1.544071e-24   1.923591e-04   8.146223e-26   384
  4.862943e-01   1.409423e-24   3.238501e-04   6.289228e-26   672
  4.875640e-01   1.485328e-24   1.937042e-04   1.342163e-25   240
  4.882967e-01   1.448562e-24   1.965613e-04   1.025215e-25   264
  4.893308e-01   1.165922e-24   2.424259e-04   5.773233e-26   624
  4.908739e-01   1.156419e-24   0.000000e+00   8.982942e-26   150
  4.914232e-01   1.500796e-24   2.716574e-04   6.875944e-26   600
  4.925819e-01   1.530514e-24   1.874909e-04   6.219264e-26   672
  4.938939e-01   1.179221e-24   1.763484e-04   7.353932e-26   336
  4.946248e-01   1.465903e-24   1.918157e-04   8.113542e-26   408
  4.957926e-01   1.240804e-24   1.913639e-04   6.442941e-26   408
  4.970915e-01   1.499972e-24   9.676385e-05   8.897260e-26   360
  4.978921e-01   1.229608e-24   3.552857e-04   6.447168e-26   456
  4.988592e-01   1.269411e-24   1.932065e-04   6.898933e-26   384
  5.000902e-01   1.023214e-24   1.783541e-04   6.460533e-26   348
  5.007554e-01   1.372697e-24   2.198754e-04   7.373539e-26   576
  5.020050e-01   1.147476e-24   1.810385e-04   5.700928e-26   504
  5.032833e-01   1.219098e-24   2.553443e-04   7.059805e-26   432
  5.043991e-01   1.283168e-24   3.473946e-04   7.092789e-26   576
  5.051948e-01   1.174589e-24   0.000000e+00   9.016124e-26   264
  5.064571e-01   1.130821e-24   2.764393e-04   4.717858e-26   768
  5.075549e-01   8.047523e-25   3.721752e-04   5.380773e-26   240
  5.084277e-01   1.316436e-24   3.282233e-04   1.164987e-25   192
  5.096990e-01   1.079319e-24   2.416124e-04   5.124582e-26   504
  5.106418e-01   1.078529e-24   3.255818e-04   5.305150e-26   590
  5.115460e-01   1.123821e-24   3.647966e-04   6.407503e-26   384
  5.126798e-01   1.148141e-24   3.048625e-04   6.152152e-26   504
  5.140486e-01   1.013132e-24   2.933830e-04   4.243817e-26   648
  5.153764e-01   9.066131e-25   7.967896e-05   4.768399e-26   504
  5.159117e-01   1.110251e-24   1.817627e-04   8.361992e-26   312
  5.168569e-01   1.000196e-24   2.618753e-04   5.188106e-26   576
  5.181545e-01   9.692888e-25   1.822405e-04   6.757178e-26   240
  5.189109e-01   9.807318e-25   1.841453e-04   4.317893e-26   552
  5.199816e-01   8.528230e-25   1.729082e-04   3.674042e-26   600
  5.215067e-01   8.853801e-25   2.111937e-04   4.059865e-26   600
  5.224237e-01   7.069384e-25   3.382099e-04   5.885368e-26   312
  5.233368e-01   1.015986e-24   2.945474e-04   5.836707e-26   480
  5.244775e-01   8.034190e-25   1.837693e-04   3.752021e-26   576
  5.254818e-01   8.965186e-25   2.959085e-04   4.785790e-26   408
  5.263729e-01   5.974686e-25   3.451909e-04   3.614853e-26   216
  5.275243e-01   9.480566e-25   2.643774e-04   4.529128e-26   516
  5.287578e-01   8.255625e-25   2.522429e-04   3.438445e-26   744
  5.300304e-01   8.820351e-25   1.684760e-04   4.661470e-26   462
  5.307494e-01   7.119519e-25   1.712315e-04   3.876525e-26   432
  5.318647e-01   7.553763e-25   1.588547e-04   3.848871e-26   648
  5.331761e-01   7.766728e-25   2.324340e-04   4.345210e-26   528
  5.342295e-01   8.149927e-25   2.799086e-04   3.506346e-26   600
  5.352820e-01   8.816890e-25   3.528915e-04   6.725011e-26   240
